,Real Infected,Real Recovered,Real Death,Predict Infected,Rredict Recovered
2/22/20,15,5,0,4.0,0.0
2/23/20,15,5,0,4.4620129635448835,0.4198078795977707
2/24/20,51,5,0,5.3413183268222,0.9063406923989291
2/25/20,51,6,0,6.688577171000803,1.5035934753084228
2/26/20,57,6,0,8.596148115721086,2.2629449970967612
2/27/20,58,6,0,11.209519900450402,3.2463014740497917
2/28/20,60,7,0,14.731028635836246,4.534721562740923
2/29/20,68,7,1,19.434405662012058,6.2325601925770595
3/1/20,74,7,1,25.686555866311497,8.472175559685304
3/2/20,98,7,6,33.995143408652105,11.435996655790156
3/3/20,118,7,7,45.025632527081655,15.363432420861416
3/4/20,149,7,11,59.64843154625234,20.566077309656027
3/5/20,219,7,12,78.99164775319812,27.444424531037168
3/6/20,267,7,14,104.61698737743049,36.553658031198204
3/7/20,403,7,17,138.6400263186498,48.64614542679775
3/8/20,519,7,21,183.73923234640566,64.674623347865
3/9/20,588,7,22,243.48361727482614,85.90763028575422
3/10/20,962,8,28,322.4285516419482,113.96380080444602
3/11/20,1285,8,36,427.0408799848284,151.14135341332963
3/12/20,1667,12,42,565.9900350649882,200.52134300005739
3/13/20,2181,12,50,750.1700566605424,265.9754840950998
3/14/20,2729,12,60,994.1525145097905,352.68228165898626
3/15/20,3536,12,74,1316.4570033967234,467.223154431643
3/16/20,4661,17,100,1743.3865161847295,618.9456826776811
3/17/20,6437,17,134,2310.521739008413,820.4946200204573
3/18/20,7781,105,165,3062.7210512735924,1087.8118934420745
3/19/20,13748,121,259,4059.033854803978,1441.8829281904848
3/20/20,19274,147,350,5375.47440422404,1909.7216485846698
3/21/20,25600,176,442,7117.797397419009,2528.9112509747283
3/22/20,33280,178,587,9431.83908035893,3351.280061409765
3/23/20,43862,178,786,12503.52924635996,4442.905800853182
3/24/20,53925,348,1011,16571.38664748601,5888.559513020267
3/25/20,65844,361,1320,21950.062878050107,7800.065636747953
3/26/20,83836,681,1726,29061.835292565287,10327.490869236677
3/27/20,101962,869,2269,38501.92964007993,13682.381525776069
3/28/20,121786,1072,2744,51040.75593900475,18138.558932227363
3/29/20,140910,2665,3420,67647.64781370392,24040.5873841653
03/30/20,,,,89625.50430321452,31851.628586185594
03/31/20,,,,118660.71836078742,42170.90776583426
04/01/20,,,,157167.37396982964,55856.538893849225
04/02/20,,,,208327.98688827362,74040.06882538382
04/03/20,,,,276114.32723227615,98134.01246905797
04/04/20,,,,365881.07692294935,130044.69695428082
04/05/20,,,,484423.8436258559,172185.6531468343
04/06/20,,,,641449.9284400915,228008.66003565013
04/07/20,,,,850028.954931059,302167.1261504381
04/08/20,,,,1126592.8691304682,400516.0895616858
